doc_id	OID	GID	oriSent	genSent	repToken	oriConsistent	pairConsistent	goldCoref	goldCorefText	oriCoref	oriCorefText	newCoref	newCorefText	pairPrecision	pairRecall
mz/sinorama/10/ectb_1049	0	2	"Students, who have enough money to keep several streets of shops going, carelessly wheel their motorcycles through the narrow streets, their minds elsewhere, thinking of youthful fun or romance."	"Students , who have enough money to keep several streets of shops going , aimlessly wheel their motorcycles through the narrow streets , their minds elsewhere , thinking of youthful fun or romance ."	care -> aim	FALSE	TRUE	"[[[23, 23], [16, 16], [0, 11]]]"	"[['their', 'their', 'Students , who have enough money to keep several streets of shops']]"	"[[[0, 12], [16, 16], [23, 23]]]"	"[['Students, who have enough money to keep several streets of shops going', 'their', 'their']]"	"[[[0, 12], [16, 16], [23, 23]]]"	"[['Students , who have enough money to keep several streets of shops going', 'their', 'their']]"	100	100
mz/sinorama/10/ectb_1049	0	1	"Students, who have enough money to keep several streets of shops going, carelessly wheel their motorcycles through the narrow streets, their minds elsewhere, thinking of youthful fun or romance."	"Students , who have enough money to keep several streets of shops going , carelessly wheel their motorcycles down the narrow streets , their minds elsewhere , thinking of youthful fun or romance ."	through -> down	FALSE	TRUE	"[[[23, 23], [16, 16], [0, 11]]]"	"[['their', 'their', 'Students , who have enough money to keep several streets of shops']]"	"[[[0, 12], [16, 16], [23, 23]]]"	"[['Students, who have enough money to keep several streets of shops going', 'their', 'their']]"	"[[[0, 12], [16, 16], [23, 23]]]"	"[['Students , who have enough money to keep several streets of shops going', 'their', 'their']]"	100	100
mz/sinorama/10/ectb_1049	0	4	"Students, who have enough money to keep several streets of shops going, carelessly wheel their motorcycles through the narrow streets, their minds elsewhere, thinking of youthful fun or romance."	"People , who have enough money to keep several streets of shops going , carelessly wheel their motorcycles through the narrow streets , their minds elsewhere , thinking of youthful fun or romance ."	Students -> People	FALSE	TRUE	"[[[23, 23], [16, 16], [0, 11]]]"	"[['their', 'their', 'Students , who have enough money to keep several streets of shops']]"	"[[[0, 12], [16, 16], [23, 23]]]"	"[['Students, who have enough money to keep several streets of shops going', 'their', 'their']]"	"[[[0, 12], [16, 16], [23, 23]]]"	"[['People , who have enough money to keep several streets of shops going', 'their', 'their']]"	100	100
mz/sinorama/10/ectb_1049	0	0	"Students, who have enough money to keep several streets of shops going, carelessly wheel their motorcycles through the narrow streets, their minds elsewhere, thinking of youthful fun or romance."	"Students , who have enough money to keep several streets of shops going , carelessly wheel their motorcycles along the narrow streets , their minds elsewhere , thinking of youthful fun or romance ."	through -> along	FALSE	TRUE	"[[[23, 23], [16, 16], [0, 11]]]"	"[['their', 'their', 'Students , who have enough money to keep several streets of shops']]"	"[[[0, 12], [16, 16], [23, 23]]]"	"[['Students, who have enough money to keep several streets of shops going', 'their', 'their']]"	"[[[0, 12], [16, 16], [23, 23]]]"	"[['Students , who have enough money to keep several streets of shops going', 'their', 'their']]"	100	100
mz/sinorama/10/ectb_1049	0	3	"Students, who have enough money to keep several streets of shops going, carelessly wheel their motorcycles through the narrow streets, their minds elsewhere, thinking of youthful fun or romance."	"Students , who have enough money to keep several streets of shops going , mindlessly wheel their motorcycles through the narrow streets , their minds elsewhere , thinking of youthful fun or romance ."	care -> mind	FALSE	TRUE	"[[[23, 23], [16, 16], [0, 11]]]"	"[['their', 'their', 'Students , who have enough money to keep several streets of shops']]"	"[[[0, 12], [16, 16], [23, 23]]]"	"[['Students, who have enough money to keep several streets of shops going', 'their', 'their']]"	"[[[0, 12], [16, 16], [23, 23]]]"	"[['Students , who have enough money to keep several streets of shops going', 'their', 'their']]"	100	100
bn/abc/00/abc_0069	1	2	CIA officials say they never received it.	CIA officials said they never received it .	say -> said	FALSE	FALSE	"[[[0, 1], [3, 3]]]"	"[['CIA officials', 'they']]"	[]	[]	[]	[]	0	0
bn/abc/00/abc_0069	1	1	CIA officials say they never received it.	CIA officials claim they never received it .	say -> claim	FALSE	FALSE	"[[[0, 1], [3, 3]]]"	"[['CIA officials', 'they']]"	[]	[]	[]	[]	0	0
bn/abc/00/abc_0069	1	4	CIA officials say they never received it.	The officials say they never received it .	CIA -> The	FALSE	FALSE	"[[[0, 1], [3, 3]]]"	"[['CIA officials', 'they']]"	[]	[]	"[[[0, 1], [3, 3]]]"	"[['The officials', 'they']]"	0	0
bn/abc/00/abc_0069	1	0	CIA officials say they never received it.	CIA sources say they never received it .	officials -> sources	FALSE	FALSE	"[[[0, 1], [3, 3]]]"	"[['CIA officials', 'they']]"	[]	[]	"[[[0, 0], [3, 3]]]"	"[['CIA', 'they']]"	0	0
bn/abc/00/abc_0069	1	3	CIA officials say they never received it.	CIA officials claimed they never received it .	say -> claimed	FALSE	FALSE	"[[[0, 1], [3, 3]]]"	"[['CIA officials', 'they']]"	[]	[]	[]	[]	0	0
bn/voa/02/voa_0209	2	0	"Thank you very much, Tony."	"Thank you so much , Tony ."	very -> so	TRUE	TRUE	"[[[1, 1], [5, 5]]]"	"[['you', 'Tony']]"	"[[[1, 1], [5, 5]]]"	"[['you', 'Tony']]"	"[[[1, 1], [5, 5]]]"	"[['you', 'Tony']]"	100	100
mz/sinorama/10/ectb_1009	3	2	"Chang notes that after the major earthquake in Taiwan on September 21, Taiwan business associations throughout mainland China contributed NT$ 60 million."	"Chang stated that after the major earthquake in Taiwan on September 21 , Taiwan business associations throughout mainland China contributed NT $ 60 million ."	notes -> stated	TRUE	TRUE	"[[[13, 13], [8, 8]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	100	100
mz/sinorama/10/ectb_1009	3	1	"Chang notes that after the major earthquake in Taiwan on September 21, Taiwan business associations throughout mainland China contributed NT$ 60 million."	"Chang notes that after the major earthquake in Taiwan on October 21 , Taiwan business associations throughout mainland China contributed NT $ 60 million ."	September -> October	TRUE	TRUE	"[[[13, 13], [8, 8]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	100	100
mz/sinorama/10/ectb_1009	3	4	"Chang notes that after the major earthquake in Taiwan on September 21, Taiwan business associations throughout mainland China contributed NT$ 60 million."	"Chang said that after the major earthquake in Taiwan on September 21 , Taiwan business associations throughout mainland China contributed NT $ 60 million ."	notes -> said	TRUE	TRUE	"[[[13, 13], [8, 8]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	100	100
