doc_id	OID	GID	oriSent	genSent	repToken	oriConsistent	pairConsistent	goldCoref	goldCorefText	oriCoref	oriCorefText	newCoref	newCorefText	pairPrecision	pairRecall	oriDepth	newDepth	depthConsistent	keepTest
mz/sinorama/10/ectb_1049	0	3	"Students, who have enough money to keep several streets of shops going, carelessly wheel their motorcycles through the narrow streets, their minds elsewhere, thinking of youthful fun or romance."	"Students, who have enough money to keep several streets of shops going, heedlessly wheel their motorcycles through the narrow streets, their minds elsewhere, thinking of youthful fun or romance."	carelessly -> heedlessly	FALSE	TRUE	"[[[23, 23], [16, 16], [0, 11]]]"	"[['their', 'their', 'Students , who have enough money to keep several streets of shops']]"	"[[[0, 12], [16, 16], [23, 23]]]"	"[['Students, who have enough money to keep several streets of shops going', 'their', 'their']]"	"[[[0, 12], [16, 16], [23, 23]]]"	"[['Students, who have enough money to keep several streets of shops going', 'their', 'their']]"	100	100	"{17, 3, 4}"	"{17, 3, 4}"	TRUE	TRUE
mz/sinorama/10/ectb_1049	0	13	"Students, who have enough money to keep several streets of shops going, carelessly wheel their motorcycles through the narrow streets, their minds elsewhere, thinking of youthful fun or romance."	"Students, who have enough money to keep several streets of shops going, carelessly wheel their motorcycles through the narrow streets, their minds elsewhere, thinking of youthful sport or romance."	fun -> sport	FALSE	TRUE	"[[[23, 23], [16, 16], [0, 11]]]"	"[['their', 'their', 'Students , who have enough money to keep several streets of shops']]"	"[[[0, 12], [16, 16], [23, 23]]]"	"[['Students, who have enough money to keep several streets of shops going', 'their', 'their']]"	"[[[0, 12], [16, 16], [23, 23]]]"	"[['Students, who have enough money to keep several streets of shops going', 'their', 'their']]"	100	100	"{17, 3, 4}"	"{17, 3, 4}"	TRUE	TRUE
mz/sinorama/10/ectb_1049	0	7	"Students, who have enough money to keep several streets of shops going, carelessly wheel their motorcycles through the narrow streets, their minds elsewhere, thinking of youthful fun or romance."	"Students, who have enough money to keep several streets of shops going, carelessly pedal their motorcycles through the narrow streets, their minds elsewhere, thinking of youthful fun or romance."	wheel -> pedal	FALSE	FALSE	"[[[23, 23], [16, 16], [0, 11]]]"	"[['their', 'their', 'Students , who have enough money to keep several streets of shops']]"	"[[[0, 12], [16, 16], [23, 23]]]"	"[['Students, who have enough money to keep several streets of shops going', 'their', 'their']]"	"[[[16, 16], [23, 23]]]"	"[['their', 'their']]"	100	33.33	"{17, 3, 4}"	"{3, 12}"	FALSE	TRUE
mz/sinorama/10/ectb_1049	0	2	"Students, who have enough money to keep several streets of shops going, carelessly wheel their motorcycles through the narrow streets, their minds elsewhere, thinking of youthful fun or romance."	"Students, who have enough money to keep several streets of shops going, carefully wheel their motorcycles through the narrow streets, their minds elsewhere, thinking of youthful fun or romance."	carelessly -> carefully	FALSE	TRUE	"[[[23, 23], [16, 16], [0, 11]]]"	"[['their', 'their', 'Students , who have enough money to keep several streets of shops']]"	"[[[0, 12], [16, 16], [23, 23]]]"	"[['Students, who have enough money to keep several streets of shops going', 'their', 'their']]"	"[[[0, 12], [16, 16], [23, 23]]]"	"[['Students, who have enough money to keep several streets of shops going', 'their', 'their']]"	100	100	"{17, 3, 4}"	"{17, 3, 4}"	TRUE	TRUE
mz/sinorama/10/ectb_1049	0	6	"Students, who have enough money to keep several streets of shops going, carelessly wheel their motorcycles through the narrow streets, their minds elsewhere, thinking of youthful fun or romance."	"Students, who have enough money to keep several streets of shops going, carelessly roll their motorcycles through the narrow streets, their minds elsewhere, thinking of youthful fun or romance."	wheel -> roll	FALSE	FALSE	"[[[23, 23], [16, 16], [0, 11]]]"	"[['their', 'their', 'Students , who have enough money to keep several streets of shops']]"	"[[[0, 12], [16, 16], [23, 23]]]"	"[['Students, who have enough money to keep several streets of shops going', 'their', 'their']]"	"[[[16, 16], [23, 23]]]"	"[['their', 'their']]"	100	33.33	"{17, 3, 4}"	"{4, 5}"	FALSE	TRUE
mz/sinorama/10/ectb_1049	0	10	"Students, who have enough money to keep several streets of shops going, carelessly wheel their motorcycles through the narrow streets, their minds elsewhere, thinking of youthful fun or romance."	"Students, who have enough money to keep several streets of shops going, carelessly wheel their motorcycles through the narrow streets, their minds elsewhere, thinking of vernal fun or romance."	youthful -> vernal	FALSE	TRUE	"[[[23, 23], [16, 16], [0, 11]]]"	"[['their', 'their', 'Students , who have enough money to keep several streets of shops']]"	"[[[0, 12], [16, 16], [23, 23]]]"	"[['Students, who have enough money to keep several streets of shops going', 'their', 'their']]"	"[[[0, 12], [16, 16], [23, 23]]]"	"[['Students, who have enough money to keep several streets of shops going', 'their', 'their']]"	100	100	"{17, 3, 4}"	"{17, 3, 4}"	TRUE	TRUE
mz/sinorama/10/ectb_1049	0	4	"Students, who have enough money to keep several streets of shops going, carelessly wheel their motorcycles through the narrow streets, their minds elsewhere, thinking of youthful fun or romance."	"Students, who have enough money to keep several streets of shops going, rakishly wheel their motorcycles through the narrow streets, their minds elsewhere, thinking of youthful fun or romance."	carelessly -> rakishly	FALSE	TRUE	"[[[23, 23], [16, 16], [0, 11]]]"	"[['their', 'their', 'Students , who have enough money to keep several streets of shops']]"	"[[[0, 12], [16, 16], [23, 23]]]"	"[['Students, who have enough money to keep several streets of shops going', 'their', 'their']]"	"[[[0, 12], [16, 16], [23, 23]]]"	"[['Students, who have enough money to keep several streets of shops going', 'their', 'their']]"	100	100	"{17, 3, 4}"	"{17, 3, 4}"	TRUE	TRUE
mz/sinorama/10/ectb_1049	0	1	"Students, who have enough money to keep several streets of shops going, carelessly wheel their motorcycles through the narrow streets, their minds elsewhere, thinking of youthful fun or romance."	"Students, who have enough money to keep several streets of shops going, cautiously wheel their motorcycles through the narrow streets, their minds elsewhere, thinking of youthful fun or romance."	carelessly -> cautiously	FALSE	TRUE	"[[[23, 23], [16, 16], [0, 11]]]"	"[['their', 'their', 'Students , who have enough money to keep several streets of shops']]"	"[[[0, 12], [16, 16], [23, 23]]]"	"[['Students, who have enough money to keep several streets of shops going', 'their', 'their']]"	"[[[0, 12], [16, 16], [23, 23]]]"	"[['Students, who have enough money to keep several streets of shops going', 'their', 'their']]"	100	100	"{17, 3, 4}"	"{17, 3, 4}"	TRUE	TRUE
mz/sinorama/10/ectb_1049	0	14	"Students, who have enough money to keep several streets of shops going, carelessly wheel their motorcycles through the narrow streets, their minds elsewhere, thinking of youthful fun or romance."	"Students, who have enough money to keep several streets of shops going, carelessly wheel their motorcycles through the narrow streets, their minds elsewhere, thinking of youthful playfulness or romance."	fun -> playfulness	FALSE	TRUE	"[[[23, 23], [16, 16], [0, 11]]]"	"[['their', 'their', 'Students , who have enough money to keep several streets of shops']]"	"[[[0, 12], [16, 16], [23, 23]]]"	"[['Students, who have enough money to keep several streets of shops going', 'their', 'their']]"	"[[[0, 12], [16, 16], [23, 23]]]"	"[['Students, who have enough money to keep several streets of shops going', 'their', 'their']]"	100	100	"{17, 3, 4}"	"{17, 3, 4}"	TRUE	TRUE
mz/sinorama/10/ectb_1049	0	0	"Students, who have enough money to keep several streets of shops going, carelessly wheel their motorcycles through the narrow streets, their minds elsewhere, thinking of youthful fun or romance."	"Students, who have enough money to keep several streets of shops going, incautiously wheel their motorcycles through the narrow streets, their minds elsewhere, thinking of youthful fun or romance."	carelessly -> incautiously	FALSE	TRUE	"[[[23, 23], [16, 16], [0, 11]]]"	"[['their', 'their', 'Students , who have enough money to keep several streets of shops']]"	"[[[0, 12], [16, 16], [23, 23]]]"	"[['Students, who have enough money to keep several streets of shops going', 'their', 'their']]"	"[[[0, 12], [16, 16], [23, 23]]]"	"[['Students, who have enough money to keep several streets of shops going', 'their', 'their']]"	100	100	"{17, 3, 4}"	"{17, 3, 4}"	TRUE	TRUE
