doc_id	OID	GID	oriSent	genSent	repToken	oriConsistent	pairConsistent	goldCoref	goldCorefText	oriCoref	oriCorefText	newCoref	newCorefText	pairPrecision	pairRecall
bn/abc/00/abc_0069	1	0	CIA officials say they never received it.	CIA others say they never received it.	officials -> others	FALSE	FALSE	"[[[0, 1], [3, 3]]]"	"[['CIA officials', 'they']]"	[]	[]	"[[[0, 0], [3, 3]]]"	"[['CIA', 'they']]"	0	0
bn/abc/00/abc_0069	1	1	CIA officials say they never received it.	CIA people say they never received it.	officials -> people	FALSE	FALSE	"[[[0, 1], [3, 3]]]"	"[['CIA officials', 'they']]"	[]	[]	"[[[0, 0], [3, 3]]]"	"[['CIA', 'they']]"	0	0
bn/voa/02/voa_0209	2	2	"Thank you very much, Tony."	"Thank you very much, er."	Tony -> er	TRUE	FALSE	"[[[1, 1], [5, 5]]]"	"[['you', 'Tony']]"	"[[[1, 1], [5, 5]]]"	"[['you', 'Tony']]"	[]	[]	0	0
bn/voa/02/voa_0209	2	1	"Thank you very much, Tony."	"Thank you very much, mr."	Tony -> mr	TRUE	FALSE	"[[[1, 1], [5, 5]]]"	"[['you', 'Tony']]"	"[[[1, 1], [5, 5]]]"	"[['you', 'Tony']]"	[]	[]	0	0
bn/voa/02/voa_0209	2	4	"Thank you very much, Tony."	"Thank you very much, dr."	Tony -> dr	TRUE	FALSE	"[[[1, 1], [5, 5]]]"	"[['you', 'Tony']]"	"[[[1, 1], [5, 5]]]"	"[['you', 'Tony']]"	[]	[]	0	0
bn/voa/02/voa_0209	2	0	"Thank you very much, Tony."	"Thank you very much, mrs."	Tony -> mrs	TRUE	TRUE	"[[[1, 1], [5, 5]]]"	"[['you', 'Tony']]"	"[[[1, 1], [5, 5]]]"	"[['you', 'Tony']]"	"[[[1, 1], [5, 5]]]"	"[['you', 'mrs']]"	100	100
bn/voa/02/voa_0209	2	3	"Thank you very much, Tony."	"Thank you very much, esq."	Tony -> esq	TRUE	FALSE	"[[[1, 1], [5, 5]]]"	"[['you', 'Tony']]"	"[[[1, 1], [5, 5]]]"	"[['you', 'Tony']]"	[]	[]	0	0
bn/voa/02/voa_0209	2	5	"Thank you very much, Tony."	"Thank you very much, ms."	Tony -> ms	TRUE	TRUE	"[[[1, 1], [5, 5]]]"	"[['you', 'Tony']]"	"[[[1, 1], [5, 5]]]"	"[['you', 'Tony']]"	"[[[1, 1], [5, 5]]]"	"[['you', 'ms']]"	100	100
mz/sinorama/10/ectb_1009	3	67	"Chang notes that after the major earthquake in Taiwan on September 21, Taiwan business associations throughout mainland China contributed NT$ 60 million."	"Chang notes that after the major earthquake in Taiwan on September 21, Taiwan student associations throughout mainland China contributed NT $60 million."	business -> student	TRUE	TRUE	"[[[13, 13], [8, 8]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	100	100
mz/sinorama/10/ectb_1009	3	35	"Chang notes that after the major earthquake in Taiwan on September 21, Taiwan business associations throughout mainland China contributed NT$ 60 million."	"Chang notes that after the major earthquake in shanghai on September 21, Taiwan business associations throughout mainland China contributed NT $60 million."	Taiwan -> shanghai	TRUE	FALSE	"[[[13, 13], [8, 8]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	[]	[]	0	0
mz/sinorama/10/ectb_1009	3	73	"Chang notes that after the major earthquake in Taiwan on September 21, Taiwan business associations throughout mainland China contributed NT$ 60 million."	"Chang notes that after the major earthquake in Taiwan on September 21, Taiwan business associations throughout mainland China contributed NT $60 million."	business -> business	TRUE	TRUE	"[[[13, 13], [8, 8]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	100	100
mz/sinorama/10/ectb_1009	3	62	"Chang notes that after the major earthquake in Taiwan on September 21, Taiwan business associations throughout mainland China contributed NT$ 60 million."	"Chang notes that after the major earthquake in Taiwan on September 21, Taiwan law associations throughout mainland China contributed NT $60 million."	business -> law	TRUE	TRUE	"[[[13, 13], [8, 8]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	100	100
mz/sinorama/10/ectb_1009	3	39	"Chang notes that after the major earthquake in Taiwan on September 21, Taiwan business associations throughout mainland China contributed NT$ 60 million."	"Chang notes that after the major earthquake in tokyo on September 21, Taiwan business associations throughout mainland China contributed NT $60 million."	Taiwan -> tokyo	TRUE	FALSE	"[[[13, 13], [8, 8]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	[]	[]	0	0
mz/sinorama/10/ectb_1009	3	53	"Chang notes that after the major earthquake in Taiwan on September 21, Taiwan business associations throughout mainland China contributed NT$ 60 million."	"Chang notes that after the major earthquake in Taiwan on july 21, Taiwan business associations throughout mainland China contributed NT $60 million."	September -> july	TRUE	TRUE	"[[[13, 13], [8, 8]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	100	100
mz/sinorama/10/ectb_1009	3	56	"Chang notes that after the major earthquake in Taiwan on September 21, Taiwan business associations throughout mainland China contributed NT$ 60 million."	"Chang notes that after the major earthquake in Taiwan on taipei 21, Taiwan business associations throughout mainland China contributed NT $60 million."	September -> taipei	TRUE	TRUE	"[[[13, 13], [8, 8]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	100	100
mz/sinorama/10/ectb_1009	3	88	"Chang notes that after the major earthquake in Taiwan on September 21, Taiwan business associations throughout mainland China contributed NT$ 60 million."	"Chang notes that after the major earthquake in Taiwan on September 21, Taiwan business centers throughout mainland China contributed NT $60 million."	associations -> centers	TRUE	TRUE	"[[[13, 13], [8, 8]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	100	100
mz/sinorama/10/ectb_1009	3	31	"Chang notes that after the major earthquake in Taiwan on September 21, Taiwan business associations throughout mainland China contributed NT$ 60 million."	"Chang notes that after the major earthquake in nepal on September 21, Taiwan business associations throughout mainland China contributed NT $60 million."	Taiwan -> nepal	TRUE	FALSE	"[[[13, 13], [8, 8]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	[]	[]	0	0
mz/sinorama/10/ectb_1009	3	59	"Chang notes that after the major earthquake in Taiwan on September 21, Taiwan business associations throughout mainland China contributed NT$ 60 million."	"Chang notes that after the major earthquake in Taiwan on September 21, Taiwan relief associations throughout mainland China contributed NT $60 million."	business -> relief	TRUE	TRUE	"[[[13, 13], [8, 8]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	100	100
mz/sinorama/10/ectb_1009	3	101	"Chang notes that after the major earthquake in Taiwan on September 21, Taiwan business associations throughout mainland China contributed NT$ 60 million."	"Chang notes that after the major earthquake in Taiwan on September 21, Taiwan business associations throughout mainland europe contributed NT $60 million."	China -> europe	TRUE	TRUE	"[[[13, 13], [8, 8]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	100	100
mz/sinorama/10/ectb_1009	3	78	"Chang notes that after the major earthquake in Taiwan on September 21, Taiwan business associations throughout mainland China contributed NT$ 60 million."	"Chang notes that after the major earthquake in Taiwan on September 21, Taiwan business business throughout mainland China contributed NT $60 million."	associations -> business	TRUE	TRUE	"[[[13, 13], [8, 8]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	100	100
mz/sinorama/10/ectb_1009	3	94	"Chang notes that after the major earthquake in Taiwan on September 21, Taiwan business associations throughout mainland China contributed NT$ 60 million."	"Chang notes that after the major earthquake in Taiwan on September 21, Taiwan business associations throughout mainland mainland contributed NT $60 million."	China -> mainland	TRUE	TRUE	"[[[13, 13], [8, 8]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	100	100
mz/sinorama/10/ectb_1009	3	65	"Chang notes that after the major earthquake in Taiwan on September 21, Taiwan business associations throughout mainland China contributed NT$ 60 million."	"Chang notes that after the major earthquake in Taiwan on September 21, Taiwan restoration associations throughout mainland China contributed NT $60 million."	business -> restoration	TRUE	TRUE	"[[[13, 13], [8, 8]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	"[[[8, 8], [13, 13]]]"	"[['Taiwan', 'Taiwan']]"	100	100
