	doc_id	OID	GID	oriSent	genSent	repToken	oriConsistent	pairConsistent	goldCoref	goldCorefText	oriCoref	oriCorefText	newCoref	newCorefText	oriPrecision	oriRecall	pairPrecision	pairRecall	oriDepth	newDepth	depthConsistent
713	nw/xinhua/01/chtb_0189	144	0	In order to benefit society, the Wangma Computer Company determinedly gave up an opportunity that would have earned big money by dedicating unencoded floppy disks to users, allowing them to copy by themselves.	In order to benefit society , the Wangma Computer Company determinedly gave up an opportunity that would have earned big money by dedicating unencoded floppy disks to users , enabling them to copy by themselves .	allowing -> enabling	False	False	[[[34, 34], [30, 30], [27, 27]]]	[['themselves', 'them', 'users']]	[[[6, 9], [34, 34]], [[27, 27], [30, 30]]]	[['the Wangma Computer Company', 'themselves'], ['users', 'them']]	[[[27, 27], [30, 30], [34, 34]]]	[['users', 'them', 'themselves']]	50.0	33.33	16.66	25.0	{3, 6, 10, 14}	{10, 14, 6}	False
697	nw/xinhua/00/chtb_0049	140	4	In order to promote the development of the Tumen River region, South Korea donated one million US dollars to establish the Tumen River development fund.	In order to encourage the development of the Tumen River region , South Korea donated one million US dollars to establish the Tumen River development fund .	promote -> encourage	False	False	[[[22, 23], [8, 9]]]	[['Tumen River', 'Tumen River']]	[[[7, 10], [22, 23]]]	[['the Tumen River region', 'Tumen River']]	[]	[]	0.0	0.0	0.0	0.0	{8, 9, 11}	set()	False
317	bn/voa/02/voa_0259	64	4	Mr. Arafat accused Israel of waging a savage and barbaric war against his people.	Dr . Arafat accused Israel of waging a savage and barbaric war against his people .	Mr -> Dr	True	False	[[[12, 12], [0, 1]]]	[['his', 'Mr. Arafat']]	[[[0, 1], [12, 12]]]	[['Mr. Arafat', 'his']]	[[[4, 4], [13, 13]]]	[['Israel', 'his']]	100.0	100.0	0.0	0.0	{9, 3}	{9, 5}	False
748	nw/wsj/23/wsj_2355	151	0	Mr. Thygerson said he had planned to travel between the job in Denver and his San Diego home, but has found the commute too difficult to continue.	Mr . Thygerson said he has planned to travel between the job in Denver and his San Diego home , but has found the commute too difficult to continue .	had -> has	True	False	[[[0, 1], [3, 3], [14, 14]]]	[['Mr. Thygerson', 'he', 'his']]	[[[0, 1], [3, 3], [14, 14]]]	[['Mr. Thygerson', 'he', 'his']]	[[[0, 2], [4, 4], [15, 15]]]	[['Mr . Thygerson', 'he', 'his']]	100.0	100.0	0.0	0.0	{3, 6, 10, 14, 15}	{3, 6, 10, 14, 15}	True
707	bn/cnn/01/cnn_0179	142	4	Yesterday, Mr. Clinton spoke to supporters in his home state of Arkansas.	Yesterday , Mr . Clinton spoke to supporters in his home state of Michigan .	Arkansas -> Michigan	True	False	[[[2, 3], [8, 8]]]	[['Mr. Clinton', 'his']]	[[[2, 3], [8, 8]]]	[['Mr. Clinton', 'his']]	[]	[]	100.0	100.0	0.0	0.0	{3, 6}	set()	False
497	nw/wsj/23/wsj_2331	100	4	Executives at Backer Spielvogel client Avis Inc., as well as at Saatchi client Philips Lighting Co., also said they saw no effect.	Officials at Backer Spielvogel client Avis Inc . , as well as at Saatchi client Philips Lighting Co . , also said they saw no effect .	Executive -> Official	False	False	[[[0, 17], [20, 20]]]	[['Executives at Backer Spielvogel client Avis Inc. , as well as at Saatchi client Philips Lighting Co. ,', 'they']]	[[[0, 16], [20, 20]]]	[['Executives at Backer Spielvogel client Avis Inc., as well as at Saatchi client Philips Lighting Co.', 'they']]	[[[0, 19], [22, 22]]]	[['Officials at Backer Spielvogel client Avis Inc . , as well as at Saatchi client Philips Lighting Co . ,', 'they']]	0.0	0.0	0.0	0.0	{4, 6}	{4, 6}	True
675	mz/sinorama/10/ectb_1029	136	2	Johnsee Lee says that according to US market research estimates, the worldwide annual consumption of microarray chips is currently around 250,000, in two years this is expected to grow to 1.2 million.	Johnsee Lee says that according to US market research estimates , the worldwide annual consumption of microarray chips is currently around 200 , 000 ; in two years this is expected to grow to 1 . 2 million .	250 -> 200	True	False	[[[26, 26], [11, 17]]]	[['this', 'the worldwide annual consumption of microarray chips']]	[[[11, 17], [26, 26]]]	[['the worldwide annual consumption of microarray chips', 'this']]	[[[11, 17], [28, 28]]]	[['the worldwide annual consumption of microarray chips', 'this']]	100.0	100.0	0.0	0.0	{12, 7}	{8, 4}	False
316	bn/voa/02/voa_0259	64	3	Mr. Arafat accused Israel of waging a savage and barbaric war against his people.	Mr . Arafat accused Israel of waging a cruel and barbaric war against his people .	savage -> cruel	True	False	[[[12, 12], [0, 1]]]	[['his', 'Mr. Arafat']]	[[[0, 1], [12, 12]]]	[['Mr. Arafat', 'his']]	[[[0, 2], [13, 13]]]	[['Mr . Arafat', 'his']]	100.0	100.0	0.0	0.0	{9, 3}	{9, 3}	True
295	bn/pri/00/pri_0069	60	2	His country is the poorest in the hemisphere and much of the world community has shunned him.	The country is the poorest in the hemisphere and much of the world community has shunned him .	His -> The	True	False	[[[0, 0], [16, 16]]]	[['His', 'him']]	[[[0, 0], [16, 16]]]	[['His', 'him']]	[[[0, 1], [16, 16]]]	[['The country', 'him']]	100.0	100.0	0.0	0.0	{4, 6}	{4, 6}	True
340	bn/pri/00/pri_0079	69	2	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	This book is filled with marvelous descriptions of the gorges through which he walks , the mountains that he climbs , indeed the book is called Soul Mountain , the mountain on which he hopes in some way or another to get in touch with his soul , his individual soul , as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities , the social realism that the cadres would have him write in .	The -> This	False	False	[[[33, 33], [78, 78], [63, 63], [45, 45], [48, 48], [18, 18], [12, 12]], [[22, 23], [0, 1]]]	[['he', 'him', 'him', 'his', 'his', 'he', 'he'], ['the book', 'The book']]	[[[0, 1], [12, 12], [18, 18], [22, 23], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'he', 'he', 'the book', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	[[[0, 1], [22, 23]], [[12, 12], [18, 18], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['This book', 'the book'], ['he', 'he', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	29.72	50.0	78.12	81.08	{3, 10, 12, 14, 15, 17, 20}	{3, 10, 12, 14, 15, 17, 20}	True
43	mz/sinorama/10/ectb_1019	9	2	I have always remembered the encouragement which Mr. Yu Youren gave me as a young reporter.	I have always remembered the encouragement which Mr . Yu Youren gave me as a young student .	reporter -> student	True	False	[[[0, 0], [11, 11]]]	[['I', 'me']]	[[[0, 0], [11, 11]]]	[['I', 'me']]	[[[0, 0], [12, 12]]]	[['I', 'me']]	100.0	100.0	0.0	0.0	{9, 3, 4, 6}	{9, 3, 4, 6}	True
132	mz/sinorama/10/ectb_1069	27	1	Middle age and the changes it brings are like a revolving door.	The age and the changes it brings are like a revolving door .	Middle -> The	True	False	[[[5, 5], [0, 1]]]	[['it', 'Middle age']]	[[[0, 1], [5, 5]]]	[['Middle age', 'it']]	[[[0, 6], [5, 5]]]	[['The age and the changes it brings', 'it']]	100.0	100.0	0.0	0.0	{4, 7}	{4, 7}	True
677	mz/sinorama/10/ectb_1029	136	4	Johnsee Lee says that according to US market research estimates, the worldwide annual consumption of microarray chips is currently around 250,000, in two years this is expected to grow to 1.2 million.	Johnsee Lee says that according to US market research estimates , the worldwide annual consumption of microarray chips is currently around 600 , 000 ; in two years this is expected to grow to 1 . 2 million .	250 -> 600	True	False	[[[26, 26], [11, 17]]]	[['this', 'the worldwide annual consumption of microarray chips']]	[[[11, 17], [26, 26]]]	[['the worldwide annual consumption of microarray chips', 'this']]	[[[11, 17], [28, 28]]]	[['the worldwide annual consumption of microarray chips', 'this']]	100.0	100.0	0.0	0.0	{12, 7}	{8, 4}	False
110	bn/voa/00/voa_0029	22	4	Late Thursday, Mr. Barak invited Likud opposition leader Ariel Sharon to join him in a government of national emergency.	Late Thursday , Mr . Barak invited Likud party leader Ariel Sharon to join him in a government of national emergency .	opposition -> party	False	False	[[[3, 4], [13, 13]]]	[['Mr. Barak', 'him']]	[[[6, 10], [13, 13]]]	[['Likud opposition leader Ariel Sharon', 'him']]	[[[7, 11], [14, 14]]]	[['Likud party leader Ariel Sharon', 'him']]	0.0	0.0	0.0	0.0	{5, 7}	{5, 7}	True
339	bn/pri/00/pri_0079	69	1	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	His book is filled with marvelous descriptions of the gorges through which he walks , the mountains that he climbs , indeed the book is called Soul Mountain , the mountain on which he hopes in some way or another to get in touch with his soul , his individual soul , as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities , the social realism that the cadres would have him write in .	The -> His	False	False	[[[33, 33], [78, 78], [63, 63], [45, 45], [48, 48], [18, 18], [12, 12]], [[22, 23], [0, 1]]]	[['he', 'him', 'him', 'his', 'his', 'he', 'he'], ['the book', 'The book']]	[[[0, 1], [12, 12], [18, 18], [22, 23], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'he', 'he', 'the book', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	[[[0, 0], [12, 12], [18, 18], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[0, 1], [22, 23]], [[45, 46], [48, 50]]]	[['His', 'he', 'he', 'he', 'his', 'his', 'him', 'him'], ['His book', 'the book'], ['his soul', 'his individual soul']]	29.72	50.0	63.33	81.08	{3, 10, 12, 14, 15, 17, 20}	{3, 10, 12, 14, 15, 17, 20}	True
