	Unnamed: 0	doc_id	OID	GID	oriSent	genSent	repToken	oriConsistent	pairConsistent	goldCoref	goldCorefText	oriCoref	oriCorefText	newCoref	newCorefText	oriPrecision	oriRecall	pairPrecision	pairRecall	oriDepth	newDepth	depthConsistent
1643	1827	bn/cnn/03/cnn_0349	71	23	there are 15,000 companies in the United States, and I think the great bulk of them are very honestly managed and so forth.	there are 15,000 companies in the United States, and I think the great bulk of them are very frankly managed and so forth.	honestly -> frankly	True	False	[[[16, 16], [2, 7]]]	[['them', '15,000 companies in the United States']]	[[[2, 7], [16, 16]]]	[['15,000 companies in the United States', 'them']]	[[[2, 3], [16, 16]]]	[['15,000 companies', 'them']]	100.0	100.0	0.0	0.0	{9, 6}	{9, 6}	True
1502	1675	nw/xinhua/02/chtb_0249	67	7	China still believes in the path that it itself has specified.	China still believes in the way that it itself has specified.	path -> way	False	False	[[[0, 0], [8, 8], [7, 8]]]	[['China', 'itself', 'it itself']]	[[[0, 0], [7, 8]]]	[['China', 'it itself']]	[[[0, 0], [7, 8], [8, 8]]]	[['China', 'it itself', 'itself']]	100.0	33.33	33.33	100.0	{3, 6}	{3, 6}	True
1607	1791	bn/pri/00/pri_0079	69	82	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him spell in.	write -> spell	False	False	[[[33, 33], [78, 78], [63, 63], [45, 45], [48, 48], [18, 18], [12, 12]], [[22, 23], [0, 1]]]	[['he', 'him', 'him', 'his', 'his', 'he', 'he'], ['the book', 'The book']]	[[[0, 1], [12, 12], [18, 18], [22, 23], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'he', 'he', 'the book', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	[[[0, 1], [22, 23]], [[12, 12], [18, 18], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]]]	[['The book', 'the book'], ['he', 'he', 'he', 'his', 'his', 'him', 'him']]	29.72	50.0	50.0	29.72	{3, 10, 12, 14, 15, 17, 20}	{3, 10, 12, 14, 15, 17, 20}	True
55	61	mz/sinorama/10/ectb_1049	4	11	Lovers of Tanshui, while keeping close watch over her, are fearful that the giant beast of development may eventually come and bulldoze Tanshui away one piece of land at a time.	Lovers of Tanshui, while keeping close lookout over her, are fearful that the giant beast of development may eventually come and bulldoze Tanshui away one piece of land at a time.	watch -> lookout	False	False	[[[9, 9], [2, 2], [24, 24]]]	[['her', 'Tanshui', 'Tanshui']]	[[[2, 2], [9, 9], [14, 18], [24, 24]]]	[['Tanshui', 'her', 'the giant beast of development', 'Tanshui']]	[[[2, 2], [24, 24]], [[9, 9], [14, 18]]]	[['Tanshui', 'Tanshui'], ['her', 'the giant beast of development']]	50.0	100.0	100.0	33.33	{6, 8, 10}	{8, 10, 6}	True
1531	1709	bn/pri/00/pri_0079	69	0	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	The book is fulfill with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	filled -> fulfill	False	False	[[[33, 33], [78, 78], [63, 63], [45, 45], [48, 48], [18, 18], [12, 12]], [[22, 23], [0, 1]]]	[['he', 'him', 'him', 'his', 'his', 'he', 'he'], ['the book', 'The book']]	[[[0, 1], [12, 12], [18, 18], [22, 23], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'he', 'he', 'the book', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	[[[0, 1], [22, 23]], [[12, 12], [18, 18], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'the book'], ['he', 'he', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	29.72	50.0	78.12	81.08	{3, 10, 12, 14, 15, 17, 20}	{3, 10, 12, 14, 15, 17, 20}	True
3705	4229	nw/wsj/23/wsj_2355	151	9	Mr. Thygerson said he had planned to travel between the job in Denver and his San Diego home, but has found the commute too difficult to continue.	Mr. Thygerson said he had planned to travel between the caper in Denver and his San Diego home, but has found the commute too difficult to continue.	job -> caper	True	False	[[[0, 1], [3, 3], [14, 14]]]	[['Mr. Thygerson', 'he', 'his']]	[[[0, 1], [3, 3], [14, 14]]]	[['Mr. Thygerson', 'he', 'his']]	[[[0, 1], [3, 3]], [[9, 10], [14, 14]]]	[['Mr. Thygerson', 'he'], ['the caper', 'his']]	100.0	100.0	50.0	33.33	{3, 6, 10, 14, 15}	{3, 6, 10, 14, 15}	True
1620	1804	bn/cnn/03/cnn_0349	71	0	there are 15,000 companies in the United States, and I think the great bulk of them are very honestly managed and so forth.	there are 15,000 companies in the United States, and I opine the great bulk of them are very honestly managed and so forth.	think -> opine	True	False	[[[16, 16], [2, 7]]]	[['them', '15,000 companies in the United States']]	[[[2, 7], [16, 16]]]	[['15,000 companies in the United States', 'them']]	[[[2, 3], [16, 16]]]	[['15,000 companies', 'them']]	100.0	100.0	0.0	0.0	{9, 6}	{9, 6}	True
447	505	bn/pri/00/pri_0009	20	41	The congressman was known as a fervent liberal and supporter of the arts and he was noted for his success in getting congress to finance for national endowment for the art.	The congressman was known as a fervent liberal and supporter of the arts and he was noted for his success in getting congress to finance for local endowment for the art.	national -> local	True	False	[[[18, 18], [0, 1], [14, 14]]]	[['his', 'The congressman', 'he']]	[[[0, 1], [14, 14], [18, 18]]]	[['The congressman', 'he', 'his']]	[[[0, 1], [14, 14], [18, 18]], [[11, 12], [29, 30]]]	[['The congressman', 'he', 'his'], ['the arts', 'the art']]	100.0	100.0	75.0	100.0	{10, 4, 7, 15}	{4, 7, 10, 15}	True
3913	4459	bn/abc/00/abc_0009	161	21	I urge Mr. Barak to lift the siege of Palestinians, to speak to the Palestinians as its neighbors because they are his neighbors.	I urge Mr. Barak to lift the siege of Palestinians, to verbalize to the Palestinians as its neighbors because they are his neighbors.	speak -> verbalize	False	False	[[[14, 15], [20, 20], [9, 9]], [[22, 22], [2, 3]]]	[['the Palestinians', 'they', 'Palestinians'], ['his', 'Mr. Barak']]	[[[2, 3], [22, 22]], [[6, 9], [17, 17], [20, 20]]]	[['Mr. Barak', 'his'], ['the siege of Palestinians', 'its', 'they']]	[[[2, 3], [22, 22]], [[6, 9], [17, 17]], [[14, 15], [20, 20]]]	[['Mr. Barak', 'his'], ['the siege of Palestinians', 'its'], ['the Palestinians', 'they']]	29.16	29.16	58.33	75.0	{8, 13, 12, 5}	{5, 8, 12, 13}	True
3385	3844	nw/xinhua/02/chtb_0289	139	41	The announcement clearly pointed out that goods violating intellectual property rights, including exclusive rights of trademarks, copyrights and patent rights, were not allowed to be imported or exported, when Customs discovers the import and export of goods that are reported as violating rights and other goods that were suspected of violating intellectual property rights, it has the right to ask the people importing and exporting the goods to provide legal proof of use of related intellectual property rights and make additional reports to Customs about the state of the intellectual property rights of goods.	The announcement clearly pointed out that goods violating intellectual property rights, including exclusive rights of trademarks, copyrights and patent rights, were not allowed to be imported or exported; when Customs discovers the inconsequence and export of goods that are reported as violating rights and other goods that were suspected of violating intellectual property rights, it has the right to ask the people importing and exporting the goods to provide legal proof of use of related intellectual property rights and make additional reports to Customs about the state of the intellectual property rights of goods.	import -> inconsequence	True	False	[[[33, 33], [59, 59], [88, 88]], [[40, 57], [70, 71]]]	[['Customs', 'it', 'Customs'], ['goods that are reported as violating rights and other goods that were suspected of violating intellectual property rights', 'the goods']]	[[[33, 33], [59, 59], [88, 88]], [[40, 57], [70, 71]]]	[['Customs', 'it', 'Customs'], ['goods that are reported as violating rights and other goods that were suspected of violating intellectual property rights', 'the goods']]	[[[33, 33], [59, 59], [88, 88]], [[40, 46], [70, 71]]]	[['Customs', 'it', 'Customs'], ['goods that are reported as violating rights', 'the goods']]	100.0	100.0	62.5	62.5	{17, 18, 19, 4, 6, 8}	{17, 18, 19, 4, 6, 8}	True
