	doc_id	OID	GID	oriSent	genSent	repToken	oriConsistent	pairConsistent	goldCoref	goldCorefText	oriCoref	oriCorefText	newCoref	newCorefText	oriPrecision	oriRecall	pairPrecision	pairRecall	oriDepth	newDepth	depthConsistent
8910	bn/nbc/00/nbc_0029	186	70	Tonight for both George Bush and Al Gore and their war rooms all their advisers, this really comes down to a numbers game.	Tonight for both George Bush and Al Gore and their war rooms all their advisers, this really sums down to a numbers game.	comes -> sums	False	False	[[[13, 13], [3, 7], [9, 9]]]	[['their', 'George Bush and Al Gore', 'their']]	[[[2, 7], [9, 9]]]	[['both George Bush and Al Gore', 'their']]	[[[2, 7], [9, 9], [13, 13]]]	[['both George Bush and Al Gore', 'their', 'their']]	0.0	0.0	33.33	100.0	{5, 6}	{5, 6}	True
6169	bn/pri/00/pri_0079	124	43	His politics are embedded in his writing and his writing is first and foremost a celebration of freedom.	His politics are embedded in his visions and his writing is first and foremost a celebration of freedom.	writing -> visions	True	False	[[[5, 6], [8, 9]], [[8, 8], [5, 5], [0, 0]]]	[['his writing', 'his writing'], ['his', 'his', 'His']]	[[[0, 0], [5, 5], [8, 8]], [[5, 6], [8, 9]]]	[['His', 'his', 'his'], ['his writing', 'his writing']]	[[[0, 0], [5, 5], [8, 8]]]	[['His', 'his', 'his']]	100.0	100.0	50.0	37.5	{4, 7}	{4, 7}	True
4703	mz/sinorama/10/ectb_1009	98	81	Taiwanese business people here run their factories like they drive their cars, in high gear.	Taiwanese business people here run their problems like they drive their cars, in high gear.	factories -> problems	False	False	[[[5, 5], [10, 10], [0, 3], [8, 8]]]	[['their', 'their', 'Taiwanese business people here', 'they']]	[[[5, 5], [8, 8], [10, 10]]]	[['their', 'they', 'their']]	[[[0, 3], [5, 5], [8, 8], [10, 10]]]	[['Taiwanese business people here', 'their', 'they', 'their']]	100.0	50.0	50.0	100.0	{4, 6, 7}	{3, 4, 6, 7}	False
2602	bn/nbc/00/nbc_0029	52	171	I want everybody who tried to vote who legally voted to have their vote count, including service people.	I want everybody who tried to vote who legally voted to have their vote count, including service days.	people -> days	False	False	[[[12, 12], [2, 9]]]	[['their', 'everybody who tried to vote who legally voted']]	[[[2, 18], [12, 12]]]	[['everybody who tried to vote who legally voted to have their vote count, including service people', 'their']]	[[[2, 9], [12, 12]]]	[['everybody who tried to vote who legally voted', 'their']]	0.0	0.0	0.0	0.0	{17, 5}	{17, 5}	True
2359	bn/abc/00/abc_0009	51	58	The Palestinians clearly face the greatest pressure in this summit, since the Israelis are not the only ones blaming them for the outbreak of violence.	The Palestinians clearly face the greatest pressure in this area, since the Israelis are not the only ones blaming them for the outbreak of violence.	summit -> area	False	False	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	[[[12, 13], [20, 20]]]	[['the Israelis', 'them']]	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	0.0	0.0	0.0	0.0	{9, 5}	{9, 3}	False
4679	mz/sinorama/10/ectb_1009	98	57	Taiwanese business people here run their factories like they drive their cars, in high gear.	Taiwanese business people here run their things like they drive their cars, in high gear.	factories -> things	False	False	[[[5, 5], [10, 10], [0, 3], [8, 8]]]	[['their', 'their', 'Taiwanese business people here', 'they']]	[[[5, 5], [8, 8], [10, 10]]]	[['their', 'they', 'their']]	[[[0, 3], [5, 5], [8, 8], [10, 10]]]	[['Taiwanese business people here', 'their', 'they', 'their']]	100.0	50.0	50.0	100.0	{4, 6, 7}	{3, 4, 6, 7}	False
2355	bn/abc/00/abc_0009	51	54	The Palestinians clearly face the greatest pressure in this summit, since the Israelis are not the only ones blaming them for the outbreak of violence.	The Palestinians clearly face the greatest pressure in this game, since the Israelis are not the only ones blaming them for the outbreak of violence.	summit -> game	False	False	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	[[[12, 13], [20, 20]]]	[['the Israelis', 'them']]	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	0.0	0.0	0.0	0.0	{9, 5}	{9, 3}	False
1414	mz/sinorama/10/ectb_1069	27	41	Middle age and the changes it brings are like a revolving door.	Middle age and the thing it brings are like a revolving door.	changes -> thing	True	False	[[[5, 5], [0, 1]]]	[['it', 'Middle age']]	[[[0, 1], [5, 5]]]	[['Middle age', 'it']]	[]	[]	100.0	100.0	0.0	0.0	{4, 7}	set()	False
4612	bn/voa/02/voa_0249	96	176	Reports from China say North Korean President Kim Jong Il is planning to announce economic reforms for his country.	Reports from China say North Korean President Kim Jong Il is planning to announce economic reforms for his college.	country -> college	False	False	[[[4, 9], [17, 17]]]	[['North Korean President Kim Jong Il', 'his']]	[[[2, 2], [17, 18]], [[4, 9], [17, 17]]]	[['China', 'his country'], ['North Korean President Kim Jong Il', 'his']]	[[[4, 9], [17, 17]]]	[['North Korean President Kim Jong Il', 'his']]	50.0	100.0	50.0	25.0	{8, 12, 5}	{8, 12}	False
4583	bn/voa/02/voa_0249	96	147	Reports from China say North Korean President Kim Jong Il is planning to announce economic reforms for his country.	Reports from China say North Korean President Kim Jong Il is planning to announce economic reforms for his son.	country -> son	False	False	[[[4, 9], [17, 17]]]	[['North Korean President Kim Jong Il', 'his']]	[[[2, 2], [17, 18]], [[4, 9], [17, 17]]]	[['China', 'his country'], ['North Korean President Kim Jong Il', 'his']]	[[[4, 9], [17, 17]]]	[['North Korean President Kim Jong Il', 'his']]	50.0	100.0	50.0	25.0	{8, 12, 5}	{8, 12}	False
4620	bn/voa/02/voa_0249	96	184	Reports from China say North Korean President Kim Jong Il is planning to announce economic reforms for his country.	Reports from China say North Korean President Kim Jong Il is planning to announce economic reforms for his girl.	country -> girl	False	False	[[[4, 9], [17, 17]]]	[['North Korean President Kim Jong Il', 'his']]	[[[2, 2], [17, 18]], [[4, 9], [17, 17]]]	[['China', 'his country'], ['North Korean President Kim Jong Il', 'his']]	[[[4, 9], [17, 17]]]	[['North Korean President Kim Jong Il', 'his']]	50.0	100.0	50.0	25.0	{8, 12, 5}	{8, 12}	False
2883	bn/voa/00/voa_0049	57	98	Among other things, the US has worked with Bangladesh to establish the Tropical Forest Conservation Fund, the first of its kind in the world.	Among other things, the US has worked with Bangladesh to establish the Tropical Forest Conservation Fund, the first of its name in the world.	kind -> name	True	False	[[[12, 25], [21, 21]]]	[['the Tropical Forest Conservation Fund , the first of its kind in the world', 'its']]	[[[12, 25], [21, 21]]]	[['the Tropical Forest Conservation Fund, the first of its kind in the world', 'its']]	[[[4, 5], [21, 21]]]	[['the US', 'its']]	100.0	100.0	0.0	0.0	{11, 4}	{11, 4}	True
8813	bn/pri/00/pri_0079	182	80	I think he has published about 18 plays now and he writes his plays in French.	I think he has published about 18 plays now and he writes his songs in French.	plays -> songs	False	False	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	[[[0, 0], [2, 2], [10, 10]]]	[['I', 'he', 'he']]	[[[0, 0], [2, 2], [10, 10], [12, 12]]]	[['I', 'he', 'he', 'his']]	33.33	33.33	50.0	100.0	{4, 7, 8}	{4, 5, 7, 8}	False
