	doc_id	OID	GID	oriSent	genSent	repToken	oriConsistent	pairConsistent	goldCoref	goldCorefText	oriCoref	oriCorefText	newCoref	newCorefText	oriPrecision	oriRecall	pairPrecision	pairRecall	oriDepth	newDepth	depthConsistent
1169	bn/voa/01/voa_0179	73	33	The extension of the federal order will require power suppliers in the West to keep sending their surplus electricity to California.	The extension of the federal order will require power generation in the West to keep sending their surplus electricity to California.	suppliers -> generation	True	False	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[[[8, 20], [16, 16]]]	[['power generation in the West to keep sending their surplus electricity to California', 'their']]	100.0	100.0	0.0	0.0	{10, 5}	{10, 6}	False
787	bn/abc/00/abc_0009	51	61	The Palestinians clearly face the greatest pressure in this summit, since the Israelis are not the only ones blaming them for the outbreak of violence.	The Palestinians clearly face the greatest pressure in this summit, since the Israelis are not the only ones blaming them for the crimes of violence.	outbreak -> crimes	False	False	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	[[[12, 13], [20, 20]]]	[['the Israelis', 'them']]	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	0.0	0.0	0.0	0.0	{9, 5}	{9, 3}	False
788	bn/abc/00/abc_0009	51	62	The Palestinians clearly face the greatest pressure in this summit, since the Israelis are not the only ones blaming them for the outbreak of violence.	The Palestinians clearly face the greatest pressure in this summit, since the Israelis are not the only ones blaming them for the violence of violence.	outbreak -> violence	False	False	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	[[[12, 13], [20, 20]]]	[['the Israelis', 'them']]	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	0.0	0.0	0.0	0.0	{9, 5}	{9, 3}	False
1067	bn/voa/00/voa_0049	57	74	Among other things, the US has worked with Bangladesh to establish the Tropical Forest Conservation Fund, the first of its kind in the world.	Among other things, the US has worked with Bangladesh to establish the Tropical Forest Conservation Fund, the first of its kind in the country.	world -> country	True	False	[[[12, 25], [21, 21]]]	[['the Tropical Forest Conservation Fund , the first of its kind in the world', 'its']]	[[[12, 25], [21, 21]]]	[['the Tropical Forest Conservation Fund, the first of its kind in the world', 'its']]	[[[9, 9], [24, 25]], [[12, 25], [21, 21]]]	[['Bangladesh', 'the country'], ['the Tropical Forest Conservation Fund, the first of its kind in the country', 'its']]	100.0	100.0	50.0	100.0	{11, 4}	{11, 4, 6}	False
1555	bn/voa/02/voa_0249	96	0	Reports from China say North Korean President Kim Jong Il is planning to announce economic reforms for his country.	Reports from press say North Korean President Kim Jong Il is planning to announce economic reforms for his country.	China -> press	False	False	[[[4, 9], [17, 17]]]	[['North Korean President Kim Jong Il', 'his']]	[[[2, 2], [17, 18]], [[4, 9], [17, 17]]]	[['China', 'his country'], ['North Korean President Kim Jong Il', 'his']]	[[[4, 9], [17, 17], [17, 18]]]	[['North Korean President Kim Jong Il', 'his', 'his country']]	50.0	100.0	16.66	25.0	{8, 12, 5}	{8, 12}	False
1246	mz/sinorama/10/ectb_1069	79	27	In comparison to youth or old age, the middle years are often thought of as the time when power, ability, wealth, and physical strength are all at or near their peak, so that one has no excuse for feeling melancholy.	In comparison to youth or old age, the middle olds are often thought of as the time when power, ability, wealth, and physical strength are all at or near their peak, so that one has no excuse for feeling melancholy.	years -> olds	True	False	[[[19, 27], [33, 33]]]	[['power , ability , wealth , and physical strength', 'their']]	[[[19, 27], [33, 33]]]	[['power, ability, wealth, and physical strength', 'their']]	[[[8, 10], [33, 33]]]	[['the middle olds', 'their']]	100.0	100.0	0.0	0.0	{10, 11}	{11, 3}	False
1935	nw/wsj/23/wsj_2368	119	11	And even if a nurse would wear flowers in her hair while on duty, if she were engaged she would know to wear them behind her left, not right, ear.	And even if a nurse would wear ones in her hair while on duty, if she were engaged she would know to wear them behind her left, not right, ear.	flowers -> ones	False	False	[[[24, 24], [7, 7]], [[9, 9], [3, 4], [16, 16], [19, 19], [26, 26]]]	[['them', 'flowers'], ['her', 'a nurse', 'she', 'she', 'her']]	[[[3, 4], [9, 9], [16, 16], [19, 19], [26, 26]]]	[['a nurse', 'her', 'she', 'she', 'her']]	[[[3, 4], [9, 9], [16, 16], [19, 19], [26, 26]], [[7, 10], [24, 24]]]	[['a nurse', 'her', 'she', 'she', 'her'], ['ones in her hair', 'them']]	50.0	45.45	90.9	100.0	{3, 5, 9}	{3, 5, 8, 9}	False
3026	bn/pri/00/pri_0079	182	7	I think he has published about 18 plays now and he writes his plays in French.	I think he has published about 18 volumes now and he writes his plays in French.	plays -> volumes	False	False	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	[[[0, 0], [2, 2], [10, 10]]]	[['I', 'he', 'he']]	[[[0, 0], [2, 2], [10, 10], [12, 12]]]	[['I', 'he', 'he', 'his']]	33.33	33.33	50.0	100.0	{4, 7, 8}	{4, 5, 7, 8}	False
1176	bn/voa/01/voa_0179	73	40	The extension of the federal order will require power suppliers in the West to keep sending their surplus electricity to California.	The extension of the federal order will require power suppliers in the southeast to keep sending their surplus electricity to California.	West -> southeast	True	False	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[]	[]	100.0	100.0	0.0	0.0	{10, 5}	set()	False
23	mz/sinorama/10/ectb_1009	3	18	Chang notes that after the major earthquake in Taiwan on September 21, Taiwan business associations throughout mainland China contributed NT$ 60 million.	Chang notes that after the major earthquake in sichuan on September 21, Taiwan business associations throughout mainland China contributed NT $60 million.	Taiwan -> sichuan	True	False	[[[13, 13], [8, 8]]]	[['Taiwan', 'Taiwan']]	[[[8, 8], [13, 13]]]	[['Taiwan', 'Taiwan']]	[]	[]	100.0	100.0	0.0	0.0	{10, 7}	set()	False
1061	bn/voa/00/voa_0049	57	68	Among other things, the US has worked with Bangladesh to establish the Tropical Forest Conservation Fund, the first of its kind in the world.	Among other things, the US has worked with Bangladesh to establish the Tropical Forest Conservation Fund, the first of its form in the world.	kind -> form	True	False	[[[12, 25], [21, 21]]]	[['the Tropical Forest Conservation Fund , the first of its kind in the world', 'its']]	[[[12, 25], [21, 21]]]	[['the Tropical Forest Conservation Fund, the first of its kind in the world', 'its']]	[]	[]	100.0	100.0	0.0	0.0	{11, 4}	set()	False
