doc_id	OID	GID	oriSent	genSent	repToken	oriConsistent	pairConsistent	goldCoref	goldCorefText	oriCoref	oriCorefText	newCoref	newCorefText	pairPrecision	pairRecall	oriDepth	newDepth	depthConsistent	keepTest	isBuggy
nw/wsj/23/wsj_2362	89	47	"Just last week they announced they may make a joint bid to buy Ferranti International Signal PLC, a smaller British defense contractor rocked by alleged accounting fraud at a U.S. unit."	"Just last week they announced they may make a joint bid to buy Ferranti International Signal PLC, a smaller British defense contractor rocked by alleged accounting shammer at a U.S. unit."	fraud -> shammer	TRUE	TRUE	"[[[3, 3], [5, 5]]]"	"[['they', 'they']]"	"[[[3, 3], [5, 5]]]"	"[['they', 'they']]"	"[[[3, 3], [5, 5]]]"	"[['they', 'they']]"	100	100	"{3, 6}"	"{3, 6}"	TRUE	TRUE	FALSE
bn/pri/00/pri_0039	197	16	Writer Vojislav Jonetic says he is confident the new Yugoslav government will provide plenty of fresh material.	Writer Vojislav Jonetic says he is confident the new Yugoslav government will supply plenty of fresh material.	provide -> supply	TRUE	TRUE	"[[[4, 4], [0, 2]]]"	"[['he', 'Writer Vojislav Jonetic']]"	"[[[0, 2], [4, 4]]]"	"[['Writer Vojislav Jonetic', 'he']]"	"[[[0, 2], [4, 4]]]"	"[['Writer Vojislav Jonetic', 'he']]"	100	100	"{10, 3, 6}"	"{10, 3, 6}"	TRUE	TRUE	FALSE
bn/cnn/02/cnn_0239	167	14	We will get by we will survive.	We will get by we will live.	survive -> live	TRUE	TRUE	"[[[0, 0], [4, 4]]]"	"[['We', 'we']]"	"[[[0, 0], [4, 4]]]"	"[['We', 'we']]"	"[[[0, 0], [4, 4]]]"	"[['We', 'we']]"	100	100	"{3, 7}"	"{3, 7}"	TRUE	TRUE	FALSE
bn/pri/00/pri_0039	197	24	Writer Vojislav Jonetic says he is confident the new Yugoslav government will provide plenty of fresh material.	Writer Vojislav Jonetic says he is confident the new Yugoslav government will provide heap of fresh material.	plenty -> heap	TRUE	TRUE	"[[[4, 4], [0, 2]]]"	"[['he', 'Writer Vojislav Jonetic']]"	"[[[0, 2], [4, 4]]]"	"[['Writer Vojislav Jonetic', 'he']]"	"[[[0, 2], [4, 4]]]"	"[['Writer Vojislav Jonetic', 'he']]"	100	100	"{10, 3, 6}"	"{10, 3, 13, 6}"	FALSE	TRUE	FALSE
bn/pri/00/pri_0039	31	20	"They toured the world and performed wherever there is an emigrant community from the former Yugoslavia scattered by the wars here, from Australia to New York where Index will be returning in late November."	"They toured the world and performed wherever there is an emigrant community from the former Yugoslavia scattered by the wars here, from Australia to New York where Index will be returning in former November."	late -> former	FALSE	FALSE	"[[[28, 28], [0, 0]]]"	"[['Index', 'They']]"	[]	[]	[]	[]	0	0	set()	set()	TRUE	TRUE	TRUE
nw/wsj/23/wsj_2382	108	23	Vitarine won approval to market a version of a blood pressure medicine but acknowledged that it substituted a SmithKline Beecham PLC product as its own in tests.	Vitarine won approval to market a version of a blood pressure medicine but acknowledged that it substituted a SmithKline Beecham PLC production as its own in tests.	product -> production	TRUE	TRUE	"[[[0, 0], [23, 23], [15, 15]]]"	"[['Vitarine', 'its', 'it']]"	"[[[0, 0], [15, 15], [23, 23]]]"	"[['Vitarine', 'it', 'its']]"	"[[[0, 0], [15, 15], [23, 23]]]"	"[['Vitarine', 'it', 'its']]"	100	100	"{3, 7, 8, 9}"	"{3, 7, 8, 9}"	TRUE	TRUE	FALSE
bn/voa/00/voa_0009	116	31	"This is another thing that the Indians were glad to hear him say, and he also said that both India and Russia suffer from the same sort of terrorism, as he put it, referring of course to the separatist militancies in Chechnya and Russia and in Jammu and Kashmir."	"This is another thing that the Indians were glad to hear him say, and he also said that both India and Russia suffer from the same sort of terrorism, as he put it, referring of form to the separatist militancies in Chechnya and Russia and in Jammu and Kashmir."	course -> form	FALSE	TRUE	"[[[22, 22], [46, 46]], [[20, 20], [5, 6]], [[11, 11], [32, 32], [15, 15]]]"	"[['Russia', 'Russia'], ['India', 'the Indians'], ['him', 'he', 'he']]"	"[[[11, 11], [15, 15], [32, 32]], [[22, 22], [46, 46]]]"	"[['him', 'he', 'he'], ['Russia', 'Russia']]"	"[[[11, 11], [15, 15], [32, 32]], [[22, 22], [46, 46]]]"	"[['him', 'he', 'he'], ['Russia', 'Russia']]"	100	100	"{4, 6, 7, 8, 10, 12, 14, 16, 17}"	"{4, 6, 7, 8, 10, 12, 14, 16, 17}"	TRUE	TRUE	TRUE
nw/wsj/23/wsj_2353	177	14	"Valley Federal said Friday that it is considering whether to seek another buyer for the branches or to pursue the transaction with Imperial Corp., which said it is attempting to meet Community Reinvestment Act requirements."	"Valley Federal said Friday that it is considering whether to seek another buyer for the branches or to pursue the transaction with Imperial Corp., which said it is attempting to contact Community Reinvestment Act requirements."	meet -> contact	FALSE	TRUE	"[[[0, 1], [5, 5]], [[22, 35], [27, 27]]]"	"[['Valley Federal', 'it'], ['Imperial Corp. , which said it is attempting to meet Community Reinvestment Act requirements', 'it']]"	"[[[0, 1], [5, 5], [27, 27]]]"	"[['Valley Federal', 'it', 'it']]"	"[[[0, 1], [5, 5], [27, 27]]]"	"[['Valley Federal', 'it', 'it']]"	100	100	"{3, 6, 13, 20, 26}"	"{3, 6, 13, 20, 26}"	TRUE	TRUE	TRUE
bn/pri/00/pri_0029	101	45	"He has invested an awful amount in the peace with Israel, and really he can not afford to let it fail."	"He has invested an awful amount in the peace with Israel, and really he cannot afford to let it bomb."	fail -> bomb	TRUE	FALSE	"[[[20, 20], [7, 10]], [[0, 0], [14, 14]]]"	"[['it', 'the peace with Israel'], ['He', 'he']]"	"[[[0, 0], [14, 14]], [[7, 10], [20, 20]]]"	"[['He', 'he'], ['the peace with Israel', 'it']]"	"[[[0, 0], [14, 14]]]"	"[['He', 'he']]"	50	25	"{8, 10, 4, 6}"	"{8, 4}"	FALSE	TRUE	TRUE
bn/cnn/03/cnn_0339	84	3	"Maybe before the weapon and then later he said, Oh, I should have got the nuclear weapon before I invaded."	"Maybe before the arm and then later he said, Oh, I should have got the nuclear weapon before I invaded."	weapon -> arm	FALSE	TRUE	"[[[12, 12], [20, 20], [7, 7]], [[16, 18], [2, 3]]]"	"[['I', 'I', 'he'], ['the nuclear weapon', 'the weapon']]"	"[[[7, 7], [12, 12], [20, 20]]]"	"[['he', 'I', 'I']]"	"[[[7, 7], [12, 12], [20, 20]]]"	"[['he', 'I', 'I']]"	100	100	"{3, 4, 5, 6, 8, 10}"	"{3, 4, 5, 6, 8, 10}"	TRUE	TRUE	TRUE
